#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ANLN	AURKA	9606.ENSP00000265748	9606.ENSP00000216911	0	0	0	0	0.801	0	0	0.429	0.881
ANLN	MYBL2	9606.ENSP00000265748	9606.ENSP00000217026	0	0	0	0	0.284	0	0	0.231	0.426
ANLN	GMNN	9606.ENSP00000265748	9606.ENSP00000230056	0	0	0	0	0.297	0	0	0.258	0.457
ANLN	NCAPH	9606.ENSP00000265748	9606.ENSP00000240423	0	0	0	0	0.627	0	0	0.194	0.686
ANLN	DLGAP5	9606.ENSP00000265748	9606.ENSP00000247191	0	0	0	0	0.908	0	0	0.446	0.947
ANLN	NCAPG	9606.ENSP00000265748	9606.ENSP00000251496	0	0	0	0	0.820	0	0	0.266	0.862
ANLN	CCNB1	9606.ENSP00000265748	9606.ENSP00000256442	0	0	0	0	0.821	0	0	0.423	0.892
ANLN	KIF23	9606.ENSP00000265748	9606.ENSP00000260363	0	0	0	0	0.911	0.378	0	0.874	0.992
ANLN	KIF11	9606.ENSP00000265748	9606.ENSP00000260731	0	0	0	0	0.943	0.070	0	0.493	0.970
ANLN	SPECC1	9606.ENSP00000265748	9606.ENSP00000261503	0	0	0	0	0	0.444	0	0.062	0.456
ANLN	NDC80	9606.ENSP00000265748	9606.ENSP00000261597	0	0	0	0	0.811	0	0	0.193	0.841
ANLN	MCM4	9606.ENSP00000265748	9606.ENSP00000262105	0	0	0	0	0.608	0.270	0	0.095	0.718
ANLN	MCM6	9606.ENSP00000265748	9606.ENSP00000264156	0	0	0	0	0.411	0	0	0.107	0.451
ANLN	DEPDC1B	9606.ENSP00000265748	9606.ENSP00000265036	0	0	0	0	0.470	0	0	0	0.470
ANLN	MCM2	9606.ENSP00000265748	9606.ENSP00000265056	0	0	0	0	0.523	0	0	0.201	0.603
ANLN	CENPE	9606.ENSP00000265748	9606.ENSP00000265148	0	0	0	0	0.800	0.070	0	0.402	0.879
ANLN	SPDL1	9606.ENSP00000265748	9606.ENSP00000265295	0	0	0	0	0.398	0	0	0.084	0.425
ANLN	TACC3	9606.ENSP00000265748	9606.ENSP00000326550	0	0	0	0	0.328	0	0	0.153	0.407
ANLN	CD109	9606.ENSP00000265748	9606.ENSP00000287097	0	0	0	0	0	0.270	0	0.243	0.424
ANLN	ITPR3	9606.ENSP00000265748	9606.ENSP00000363435	0	0	0	0	0	0.438	0	0	0.438
ANLN	MYH3	9606.ENSP00000265748	9606.ENSP00000464317	0	0	0	0	0.049	0.348	0	0.202	0.462
ANLN	DBN1	9606.ENSP00000265748	9606.ENSP00000292385	0	0	0	0	0.066	0.417	0	0.113	0.474
ANLN	MCM3	9606.ENSP00000265748	9606.ENSP00000480987	0	0	0	0	0.383	0	0	0.190	0.479
ANLN	STMN1	9606.ENSP00000265748	9606.ENSP00000410452	0	0	0	0	0.186	0	0	0.413	0.502
ANLN	CDCA3	9606.ENSP00000265748	9606.ENSP00000442068	0	0	0	0	0.243	0	0	0.370	0.503
ANLN	SKA1	9606.ENSP00000265748	9606.ENSP00000285116	0	0	0	0	0.374	0	0	0.296	0.540
ANLN	EZH2	9606.ENSP00000265748	9606.ENSP00000320147	0	0	0	0	0.543	0	0	0.107	0.575
ANLN	STIL	9606.ENSP00000265748	9606.ENSP00000360944	0	0	0	0	0.564	0	0	0.113	0.597
ANLN	RAD54L	9606.ENSP00000265748	9606.ENSP00000361043	0	0	0	0	0.561	0	0	0.170	0.620
ANLN	ATAD2	9606.ENSP00000265748	9606.ENSP00000287394	0	0	0	0	0.569	0	0	0.169	0.626
ANLN	UBE2T	9606.ENSP00000265748	9606.ENSP00000356243	0	0	0	0	0.550	0	0	0.207	0.627
ANLN	HELLS	9606.ENSP00000265748	9606.ENSP00000377601	0	0	0	0	0.530	0	0	0.353	0.683
ANLN	CHEK1	9606.ENSP00000265748	9606.ENSP00000388648	0	0	0	0	0.656	0	0	0.161	0.699
ANLN	CDCA5	9606.ENSP00000265748	9606.ENSP00000275517	0	0	0	0	0.574	0	0	0.333	0.704
ANLN	CDC45	9606.ENSP00000265748	9606.ENSP00000405726	0	0	0	0	0.695	0	0	0.108	0.716
ANLN	ZWINT	9606.ENSP00000265748	9606.ENSP00000363055	0	0	0	0	0.658	0	0	0.204	0.716
ANLN	DTL	9606.ENSP00000265748	9606.ENSP00000355958	0	0	0	0	0.719	0	0	0.117	0.742
ANLN	FAM83D	9606.ENSP00000265748	9606.ENSP00000481110	0	0	0	0	0.569	0	0	0.456	0.756
ANLN	CENPU	9606.ENSP00000265748	9606.ENSP00000281453	0	0	0	0	0.553	0	0	0.489	0.762
ANLN	MKI67	9606.ENSP00000265748	9606.ENSP00000357643	0	0	0	0	0.590	0.270	0	0.287	0.768
ANLN	FOXM1	9606.ENSP00000265748	9606.ENSP00000342307	0	0	0	0	0.729	0	0	0.207	0.776
ANLN	DEPDC1	9606.ENSP00000265748	9606.ENSP00000412292	0	0	0	0	0.790	0	0	0.149	0.814
ANLN	CDKN3	9606.ENSP00000265748	9606.ENSP00000335357	0	0	0	0	0.810	0	0	0.074	0.816
ANLN	HJURP	9606.ENSP00000265748	9606.ENSP00000414109	0	0	0	0	0.777	0	0	0.222	0.819
ANLN	BIRC5	9606.ENSP00000265748	9606.ENSP00000301633	0	0	0	0	0.692	0.270	0	0.370	0.846
ANLN	NUF2	9606.ENSP00000265748	9606.ENSP00000271452	0	0	0	0	0.749	0	0	0.429	0.850
ANLN	BUB1B	9606.ENSP00000265748	9606.ENSP00000287598	0	0	0	0	0.813	0	0	0.284	0.860
ANLN	NEK2	9606.ENSP00000265748	9606.ENSP00000355966	0	0	0	0	0.739	0.270	0	0.359	0.867
ANLN	TTK	9606.ENSP00000265748	9606.ENSP00000358813	0	0	0	0	0.833	0	0	0.245	0.868
ANLN	CDC20	9606.ENSP00000265748	9606.ENSP00000361540	0	0	0	0	0.789	0	0	0.405	0.869
ANLN	NUSAP1	9606.ENSP00000265748	9606.ENSP00000453403	0	0	0	0	0.811	0	0	0.363	0.874
ANLN	CCNB2	9606.ENSP00000265748	9606.ENSP00000288207	0	0	0	0	0.819	0	0	0.366	0.881
ANLN	CDCA8	9606.ENSP00000265748	9606.ENSP00000362146	0	0	0	0	0.778	0.270	0	0.337	0.883
ANLN	CCNA2	9606.ENSP00000265748	9606.ENSP00000274026	0	0	0	0	0.833	0	0	0.345	0.886
ANLN	KIF2C	9606.ENSP00000265748	9606.ENSP00000361298	0	0	0	0	0.786	0.070	0	0.512	0.894
ANLN	HMMR	9606.ENSP00000265748	9606.ENSP00000377492	0	0	0	0	0.843	0	0	0.408	0.903
ANLN	TPX2	9606.ENSP00000265748	9606.ENSP00000300403	0	0	0	0	0.839	0	0	0.482	0.913
ANLN	KIF4A	9606.ENSP00000265748	9606.ENSP00000363524	0	0	0	0	0.796	0.070	0	0.614	0.920
ANLN	CENPF	9606.ENSP00000265748	9606.ENSP00000355922	0	0	0	0	0.805	0.270	0	0.512	0.924
ANLN	TOP2A	9606.ENSP00000265748	9606.ENSP00000411532	0	0	0	0	0.834	0.270	0	0.469	0.930
ANLN	ASPM	9606.ENSP00000265748	9606.ENSP00000356379	0	0	0	0	0.866	0.296	0	0.428	0.941
ANLN	KIF20A	9606.ENSP00000265748	9606.ENSP00000378356	0	0	0	0	0.855	0.351	0	0.647	0.964
ANLN	ECT2	9606.ENSP00000265748	9606.ENSP00000376457	0	0	0	0	0.645	0.270	0	0.921	0.977
AP1M2	ESRP1	9606.ENSP00000250244	9606.ENSP00000405738	0	0	0	0	0.348	0	0	0.212	0.465
AP1M2	DNAJC6	9606.ENSP00000250244	9606.ENSP00000360108	0	0	0	0	0.062	0.114	0.900	0.112	0.916
APOA4	LYZ	9606.ENSP00000350425	9606.ENSP00000261267	0	0	0	0	0	0	0.300	0.212	0.425
APOA4	LRP2	9606.ENSP00000350425	9606.ENSP00000263816	0	0	0	0	0	0	0.900	0.175	0.914
APOA4	MAP2	9606.ENSP00000350425	9606.ENSP00000353508	0	0	0	0	0	0	0	0.416	0.416
APOA4	GPC3	9606.ENSP00000350425	9606.ENSP00000377836	0	0	0	0	0	0	0.600	0	0.600
APOA4	GPC4	9606.ENSP00000350425	9606.ENSP00000359864	0	0	0	0	0.062	0	0.600	0	0.608
APOA4	VLDLR	9606.ENSP00000350425	9606.ENSP00000371532	0	0	0	0	0	0	0.540	0.276	0.652
ASF1B	TRIP13	9606.ENSP00000263382	9606.ENSP00000166345	0	0	0	0	0.625	0	0	0	0.625
ASF1B	CDC6	9606.ENSP00000263382	9606.ENSP00000209728	0	0	0	0	0.783	0.067	0	0.170	0.817
ASF1B	CENPM	9606.ENSP00000263382	9606.ENSP00000215980	0	0	0	0	0.643	0	0	0.375	0.767
ASF1B	POLE2	9606.ENSP00000263382	9606.ENSP00000216367	0	0	0	0	0.628	0	0	0.308	0.732
ASF1B	AURKA	9606.ENSP00000263382	9606.ENSP00000216911	0	0	0	0	0.823	0	0	0.213	0.854
ASF1B	MYBL2	9606.ENSP00000263382	9606.ENSP00000217026	0	0	0	0	0.588	0	0	0.367	0.728
ASF1B	RNASEH2A	9606.ENSP00000263382	9606.ENSP00000221486	0	0	0	0	0.777	0.056	0	0.098	0.794
ASF1B	NCAPH	9606.ENSP00000263382	9606.ENSP00000240423	0	0	0	0	0.789	0	0	0	0.789
ASF1B	DLGAP5	9606.ENSP00000263382	9606.ENSP00000247191	0	0	0	0	0.695	0	0	0.385	0.804
ASF1B	NCAPG	9606.ENSP00000263382	9606.ENSP00000251496	0	0	0	0	0.716	0	0	0	0.716
ASF1B	GINS2	9606.ENSP00000263382	9606.ENSP00000253462	0	0	0	0	0.775	0	0	0.325	0.841
ASF1B	CCNB1	9606.ENSP00000263382	9606.ENSP00000256442	0	0	0	0	0.714	0.127	0	0.195	0.782
ASF1B	TROAP	9606.ENSP00000263382	9606.ENSP00000257909	0	0	0	0	0.748	0	0	0	0.748
ASF1B	KIF23	9606.ENSP00000263382	9606.ENSP00000260363	0	0	0	0	0.473	0	0	0.123	0.518
ASF1B	KIF11	9606.ENSP00000263382	9606.ENSP00000260731	0	0	0	0	0.719	0	0	0.246	0.779
ASF1B	NDC80	9606.ENSP00000263382	9606.ENSP00000261597	0	0	0	0	0.835	0	0	0.058	0.838
ASF1B	MCM4	9606.ENSP00000263382	9606.ENSP00000262105	0	0	0	0	0.717	0.704	0	0.475	0.952
ASF1B	PRR11	9606.ENSP00000263382	9606.ENSP00000262293	0	0	0	0	0.185	0	0	0.377	0.471
ASF1B	PKMYT1	9606.ENSP00000263382	9606.ENSP00000262300	0	0	0	0	0.704	0	0	0.063	0.711
ASF1B	CHTF18	9606.ENSP00000263382	9606.ENSP00000262315	0	0	0	0	0.353	0.056	0	0.297	0.533
ASF1B	GINS1	9606.ENSP00000263382	9606.ENSP00000262460	0	0	0	0	0.398	0	0	0.047	0.402
ASF1B	EZH2	9606.ENSP00000263382	9606.ENSP00000320147	0	0	0	0	0.273	0.105	0	0.210	0.441
ASF1B	E2F1	9606.ENSP00000263382	9606.ENSP00000345571	0	0	0	0	0.378	0	0	0.190	0.475
ASF1B	UBE2T	9606.ENSP00000263382	9606.ENSP00000356243	0	0	0	0	0.338	0.150	0	0.179	0.498
ASF1B	CDCA7	9606.ENSP00000263382	9606.ENSP00000306968	0	0	0	0	0.338	0	0	0.354	0.554
ASF1B	NUF2	9606.ENSP00000263382	9606.ENSP00000271452	0	0	0	0	0.492	0	0	0.183	0.567
ASF1B	HELLS	9606.ENSP00000263382	9606.ENSP00000377601	0	0	0	0	0.257	0.173	0	0.357	0.570
ASF1B	FAM83D	9606.ENSP00000263382	9606.ENSP00000481110	0	0	0	0	0.617	0	0	0	0.617
ASF1B	CENPU	9606.ENSP00000263382	9606.ENSP00000281453	0	0	0	0	0.534	0	0	0.217	0.620
ASF1B	TTK	9606.ENSP00000263382	9606.ENSP00000358813	0	0	0	0	0.621	0	0	0.067	0.631
ASF1B	CHEK1	9606.ENSP00000263382	9606.ENSP00000388648	0	0	0	0	0.342	0.246	0	0.336	0.642
ASF1B	CDKN3	9606.ENSP00000263382	9606.ENSP00000335357	0	0	0	0	0.580	0.057	0	0.188	0.650
ASF1B	ZWINT	9606.ENSP00000263382	9606.ENSP00000363055	0	0	0	0	0.561	0	0	0.252	0.657
ASF1B	ATAD2	9606.ENSP00000263382	9606.ENSP00000287394	0	0	0	0	0.268	0.283	0	0.406	0.661
ASF1B	TACC3	9606.ENSP00000263382	9606.ENSP00000326550	0	0	0	0	0.601	0	0	0.204	0.668
ASF1B	CENPF	9606.ENSP00000263382	9606.ENSP00000355922	0	0	0	0	0.581	0	0	0.248	0.672
ASF1B	SPDL1	9606.ENSP00000263382	9606.ENSP00000265295	0	0	0	0	0.679	0	0	0	0.679
ASF1B	DTL	9606.ENSP00000263382	9606.ENSP00000355958	0	0	0	0	0.691	0	0	0.062	0.698
ASF1B	CENPE	9606.ENSP00000263382	9606.ENSP00000265148	0	0	0	0	0.651	0	0	0.195	0.707
ASF1B	SKA1	9606.ENSP00000263382	9606.ENSP00000285116	0	0	0	0	0.614	0	0	0.309	0.722
ASF1B	NEK2	9606.ENSP00000263382	9606.ENSP00000355966	0	0	0	0	0.731	0	0	0.095	0.746
ASF1B	HMMR	9606.ENSP00000263382	9606.ENSP00000377492	0	0	0	0	0.665	0	0	0.293	0.753
ASF1B	MKI67	9606.ENSP00000263382	9606.ENSP00000357643	0	0	0	0	0.657	0	0	0.329	0.760
ASF1B	FOXM1	9606.ENSP00000263382	9606.ENSP00000342307	0	0	0	0	0.698	0	0	0.279	0.773
ASF1B	RAD54L	9606.ENSP00000263382	9606.ENSP00000361043	0	0	0	0	0.553	0.173	0	0.441	0.776
ASF1B	TCF19	9606.ENSP00000263382	9606.ENSP00000365433	0	0	0	0	0.759	0	0	0.136	0.783
ASF1B	BIRC5	9606.ENSP00000263382	9606.ENSP00000301633	0	0	0	0	0.717	0	0	0.284	0.788
ASF1B	CDCA5	9606.ENSP00000263382	9606.ENSP00000275517	0	0	0	0	0.812	0	0	0.095	0.823
ASF1B	ASPM	9606.ENSP00000263382	9606.ENSP00000356379	0	0	0	0	0.764	0	0	0.283	0.824
ASF1B	HJURP	9606.ENSP00000263382	9606.ENSP00000414109	0	0	0	0	0.693	0	0	0.468	0.830
ASF1B	NUSAP1	9606.ENSP00000263382	9606.ENSP00000453403	0	0	0	0	0.749	0	0	0.382	0.838
ASF1B	KIF4A	9606.ENSP00000263382	9606.ENSP00000363524	0	0	0	0	0.821	0	0	0.157	0.842
ASF1B	TPX2	9606.ENSP00000263382	9606.ENSP00000300403	0	0	0	0	0.822	0	0	0.184	0.849
ASF1B	MMS22L	9606.ENSP00000263382	9606.ENSP00000275053	0	0	0	0	0.261	0.678	0	0.499	0.870
ASF1B	TOP2A	9606.ENSP00000263382	9606.ENSP00000411532	0	0	0	0	0.816	0.056	0	0.351	0.877
ASF1B	KIF2C	9606.ENSP00000263382	9606.ENSP00000361298	0	0	0	0	0.882	0	0	0.048	0.883
ASF1B	BUB1B	9606.ENSP00000263382	9606.ENSP00000287598	0	0	0	0	0.842	0.104	0	0.261	0.886
ASF1B	MCM3	9606.ENSP00000263382	9606.ENSP00000480987	0	0	0	0	0.765	0.320	0	0.374	0.891
ASF1B	CDCA3	9606.ENSP00000263382	9606.ENSP00000442068	0	0	0	0	0.848	0	0	0.322	0.893
ASF1B	CCNA2	9606.ENSP00000263382	9606.ENSP00000274026	0	0	0	0	0.883	0.076	0	0.170	0.902
ASF1B	KIF20A	9606.ENSP00000263382	9606.ENSP00000378356	0	0	0	0	0.887	0	0	0.315	0.919
ASF1B	MCM6	9606.ENSP00000263382	9606.ENSP00000264156	0	0	0	0	0.394	0.792	0	0.416	0.920
ASF1B	CDC20	9606.ENSP00000263382	9606.ENSP00000361540	0	0	0	0	0.905	0.070	0	0.249	0.928
ASF1B	CDC45	9606.ENSP00000263382	9606.ENSP00000405726	0	0	0	0	0.822	0.056	0	0.651	0.936
ASF1B	CDCA8	9606.ENSP00000263382	9606.ENSP00000362146	0	0	0	0	0.918	0	0	0.320	0.942
ASF1B	CCNB2	9606.ENSP00000263382	9606.ENSP00000288207	0	0	0	0	0.934	0.127	0	0.152	0.947
ASF1B	CHAF1B	9606.ENSP00000263382	9606.ENSP00000315700	0	0	0	0	0.571	0.971	0	0.771	0.997
ASF1B	MCM2	9606.ENSP00000263382	9606.ENSP00000265056	0	0	0	0	0.765	0.976	0	0.869	0.999
ASNS	PKM	9606.ENSP00000175506	9606.ENSP00000320171	0.050	0	0	0	0.065	0	0	0.386	0.407
ASNS	BCAT1	9606.ENSP00000175506	9606.ENSP00000443459	0.056	0	0	0	0.066	0	0	0.483	0.504
ASNS	SLC7A11	9606.ENSP00000175506	9606.ENSP00000280612	0	0	0	0	0.089	0	0	0.539	0.562
ASNS	GLUL	9606.ENSP00000175506	9606.ENSP00000307900	0.167	0	0	0	0.097	0	0	0.760	0.803
ASPM	TRIP13	9606.ENSP00000356379	9606.ENSP00000166345	0	0	0	0	0.803	0.057	0	0.292	0.857
ASPM	CDC6	9606.ENSP00000356379	9606.ENSP00000209728	0	0	0	0	0.823	0	0	0.185	0.849
ASPM	CENPM	9606.ENSP00000356379	9606.ENSP00000215980	0	0	0	0	0.740	0	0	0.294	0.809
ASPM	POLE2	9606.ENSP00000356379	9606.ENSP00000216367	0	0	0	0	0.696	0	0	0.171	0.737
ASPM	AURKA	9606.ENSP00000356379	9606.ENSP00000216911	0	0	0	0	0.898	0.283	0	0.543	0.963
ASPM	MYBL2	9606.ENSP00000356379	9606.ENSP00000217026	0	0	0	0	0.524	0	0	0.151	0.579
ASPM	RNASEH2A	9606.ENSP00000356379	9606.ENSP00000221486	0	0	0	0	0.393	0	0	0.074	0.414
ASPM	GMNN	9606.ENSP00000356379	9606.ENSP00000230056	0	0	0	0	0.633	0	0	0.114	0.661
ASPM	NCAPH	9606.ENSP00000356379	9606.ENSP00000240423	0	0	0	0	0.919	0.669	0	0.275	0.978
ASPM	DLGAP5	9606.ENSP00000356379	9606.ENSP00000247191	0	0	0	0	0.982	0	0	0.558	0.992
ASPM	NCAPG	9606.ENSP00000356379	9606.ENSP00000251496	0	0	0	0	0.991	0	0	0.528	0.995
ASPM	GINS2	9606.ENSP00000356379	9606.ENSP00000253462	0	0	0	0	0.792	0	0	0.193	0.824
ASPM	CCNB1	9606.ENSP00000356379	9606.ENSP00000256442	0	0	0	0	0.952	0.057	0	0.473	0.974
ASPM	TROAP	9606.ENSP00000356379	9606.ENSP00000257909	0	0	0	0	0.893	0	0	0.313	0.923
ASPM	IGF2BP3	9606.ENSP00000356379	9606.ENSP00000258729	0	0	0	0	0.322	0	0	0.177	0.418
ASPM	KIF23	9606.ENSP00000356379	9606.ENSP00000260363	0	0	0	0	0.976	0.499	0	0.539	0.994
ASPM	KIF11	9606.ENSP00000356379	9606.ENSP00000260731	0	0	0	0	0.989	0.243	0	0.654	0.996
ASPM	NDC80	9606.ENSP00000356379	9606.ENSP00000261597	0	0	0	0	0.980	0	0	0.194	0.983
ASPM	MCM4	9606.ENSP00000356379	9606.ENSP00000262105	0	0	0	0	0.790	0.059	0	0.235	0.836
ASPM	PRR11	9606.ENSP00000356379	9606.ENSP00000262293	0	0	0	0	0.521	0	0	0	0.521
ASPM	PKMYT1	9606.ENSP00000356379	9606.ENSP00000262300	0	0	0	0	0.337	0.080	0	0.104	0.406
ASPM	CHTF18	9606.ENSP00000356379	9606.ENSP00000262315	0	0	0	0	0.312	0	0	0.248	0.461
ASPM	GINS1	9606.ENSP00000356379	9606.ENSP00000262460	0	0	0	0	0.383	0	0	0.164	0.462
ASPM	MCM6	9606.ENSP00000356379	9606.ENSP00000264156	0	0	0	0	0.665	0.059	0	0.249	0.742
ASPM	DEPDC1B	9606.ENSP00000356379	9606.ENSP00000265036	0	0	0	0	0.607	0	0	0.111	0.636
ASPM	MCM2	9606.ENSP00000356379	9606.ENSP00000265056	0	0	0	0	0.722	0.059	0	0.155	0.760
ASPM	CENPE	9606.ENSP00000356379	9606.ENSP00000265148	0	0	0	0	0.985	0.243	0	0.546	0.994
ASPM	SPDL1	9606.ENSP00000356379	9606.ENSP00000265295	0	0	0	0	0.739	0	0	0.342	0.821
ASPM	NUF2	9606.ENSP00000356379	9606.ENSP00000271452	0	0	0	0	0.894	0	0	0.455	0.940
ASPM	CCNA2	9606.ENSP00000356379	9606.ENSP00000274026	0	0	0	0	0.976	0.057	0	0.544	0.988
ASPM	CDCA5	9606.ENSP00000356379	9606.ENSP00000275517	0	0	0	0	0.768	0	0	0.324	0.836
ASPM	CENPU	9606.ENSP00000356379	9606.ENSP00000281453	0	0	0	0	0.805	0	0	0.275	0.853
ASPM	CENPH	9606.ENSP00000356379	9606.ENSP00000283006	0	0	0	0	0.351	0	0	0.156	0.429
ASPM	SKA1	9606.ENSP00000356379	9606.ENSP00000285116	0	0	0	0	0.733	0	0	0.457	0.849
ASPM	ATAD2	9606.ENSP00000356379	9606.ENSP00000287394	0	0	0	0	0.782	0.219	0	0.113	0.836
ASPM	BUB1B	9606.ENSP00000356379	9606.ENSP00000287598	0	0	0	0	0.922	0.325	0	0.530	0.973
ASPM	FANCD2	9606.ENSP00000356379	9606.ENSP00000287647	0	0	0	0	0.557	0	0	0.095	0.582
ASPM	CCNB2	9606.ENSP00000356379	9606.ENSP00000288207	0	0	0	0	0.909	0.057	0	0.518	0.955
ASPM	TPX2	9606.ENSP00000356379	9606.ENSP00000300403	0	0	0	0	0.966	0	0	0.458	0.981
